source_glom,target_glom,synapse_count_step2
VM7v,DP1,15564
VM7v,DM1,9558
VM7v,VL2,6805
VM7v,D,5668
VM7v,VA2,5412
VM7v,VM5,5393
VM7v,DC1,4901
VM7v,DL2,4703
VM7v,DM2,4664
VM7v,VA1,4622
VM7v,VM6,4379
VM7v,VM7,4323
VM7v,DA1,4187
VM7v,V,4019
VM7v,DL1,3955
VM7v,DL5,3929
VM7v,DM4,3771
VM7v,VA6,3588
VM7v,DM6,3549
VM7v,VA3,3273
VM7v,DA4,2817
VM7v,DC3,2730
VM7v,DC4,2722
VM7v,VC3,2621
VM7v,DM3,2565
VM7v,VA7,2541
VM7v,DC2,2445
VM7v,VC1,2417
VM7v,VM3,1871
VM7v,VC2,1839
VM7v,DA2,1776
VM7v,VC4,1706
VM7v,VL1,1681
VM7v,VM2,1569
VM7v,VA4,1529
VM7v,VC5,1526
VM7v,DL4,1383
VM7v,VM4,1260
VM7v,DL3,1156
VM7v,VM1,1032
VM7v,DM5,988
VM6v,VL1,777
VM5v,DP1,732
VM6v,VL2,711
VM5v,VA1,633
VM7v,VA5,631
VM6v,DP1,542
VM3,DP1,502
VM7v,DA3,474
VM7d,DP1,469
VM6v,VM6,359
VM7d,VL2,321
VM7d,D,315
VM5v,DL2,303
VM6v,DL5,292
VM7d,DA1,272
VM6v,D,271
VM7d,VA1,262
VM7d,DA4,244
VM6v,DL2,239
VM7d,VM3,226
VM3,DL2,218
VM7d,VM5,213
VM6v,DM2,211
VM5v,VA2,200
VM5v,V,193
VM7d,VM6,190
VM6v,DM1,178
VM7d,VA6,176
VM7d,DM6,169
VM7d,VL1,162
VM5v,VL2,151
VM7d,DM3,150
VM2,VA1,149
VM7d,VM7,148
VM7d,VA7,144
VL2p,V,143
VM7d,VA2,138
VM7d,DM4,138
VM5v,D,137
VM7d,DL2,136
VM6v,DA1,132
VM6v,V,129
VM7d,DL4,129
VM7d,VC3,128
VM6v,VM1,121
VM7d,DC1,119
VM7d,V,119
VM5v,VM5,118
VM7d,VM1,118
VM6v,DM4,118
VM6v,VA1,118
VM6v,VM4,115
VM5v,DC4,113
VM5v,DL5,110
VA6,VA1,108
VM7d,DM5,106
VM6v,VC2,105
VM7d,DM2,103
VM7d,DC3,102
VM6v,VA7,100
VA3,VA1,97
VM6l,V,96
VM7d,VM2,96
VM7d,DC4,93
VM6v,VA3,89
VM5v,VL1,85
VM3,VA2,85
VM6v,VC4,85
VM6v,DC4,74
VM7d,DM1,74
VM7d,DA2,73
VM7d,DL5,65
VM5v,VA3,65
VM7d,DC2,64
VM6v,DC2,64
VM7d,DL1,62
VM6v,DA3,59
VM6v,DA4,59
VM5v,DL3,59
VM6v,VM5,56
VM5v,VM2,55
VM7d,VA4,55
VM6v,VA6,54
VM3,VL2,53
VM6v,VA2,53
VM6v,DC1,52
VM6v,VC1,52
VM6l,VA2,52
VM5v,VM4,49
VM5v,DM4,46
VM5v,VC5,42
VM5v,VA7,39
VM5v,DA1,37
VM7d,DA3,37
VM7d,VC1,35
VM6v,DA2,32
VM6v,VM3,31
VM3,VA3,31
VM6v,DM6,31
VM6l,VA4,28
VM6l,DM2,26
VM5v,DA4,26
VM6l,VA1,25
VM6v,DL1,23
VM7d,VA3,20
VM6l,DC1,19
VM5v,DL1,18
VM6v,VC5,18
VM5v,VA6,17
VM5v,DL4,17
VM7d,VC2,16
VM6l,VL2,15
VM6l,DP1,15
VM6l,DC4,14
VM6l,DA1,13
VM6l,D,13
VM7d,DL3,12
VM6l,VA6,12
VM5v,DC1,12
VL2p,DA1,12
VM5v,DC3,11
VL2p,VA1,11
VM5v,VM3,11
VM5v,DA2,10
VM6l,DM6,10
VM7d,VC4,10
VM5v,DM6,9
VM6l,DM1,9
VM5d,DC1,9
VM6l,DA2,8
VM6l,DA4,8
VA6,D,8
VM7d,VA5,8
VM6l,DL2,8
VM7d,VC5,8
VM7d,VM4,8
VM5v,DM1,7
VM6l,DC3,6
VL2p,DC4,6
VM6l,VM5,6
VM6l,DL1,6
VM5v,DC2,6
VM6l,VM2,6
VM3,VM2,6
VM5v,VM1,6
VM5d,DM3,6
VM5d,VA2,5
VL2p,DA4,5
VM6v,DM3,5
VM5d,DM6,5
VM6l,DL5,5
VM6l,VM3,4
VM5v,DM2,4
VM5v,DM3,4
VM2,DA1,4
VM5v,DA3,4
VM5d,DM1,4
VM5d,D,4
VM6l,DM3,4
VM6v,VC3,4
VM6v,VM2,4
VM6v,VA5,4
VM6v,DL3,4
VM6v,DC3,4
VM6l,VA3,4
VL2p,DL3,4
VM6l,VC4,3
VM6l,DL4,3
VM6l,VL1,3
VM6l,VC3,3
VM6l,VC2,3
VM6l,DA3,3
VM6v,VA4,3
VM5d,VL1,3
VM5d,VA6,3
VM3,VM3,3
VM5d,DL5,3
VL2p,DP1,3
VM5d,DA2,3
VM5d,DP1,3
VA6,DA1,3
VM6l,VC1,2
VM5d,DC2,2
VM3,VA4,2
VM5d,VM5,2
VA3,DA4,2
VA3,DA1,2
VA4,DP1,2
VM5d,VA1,2
VM6l,VM6,2
VM5v,VC4,2
VM5v,VC1,2
VM6l,VM7,2
VM6l,DM5,2
VM6l,VM1,2
VM6l,DM4,2
VM6l,VC5,1
VM5v,VM7,1
VM5v,VM6,1
VM5v,VC3,1
VM5v,VC2,1
VM5v,DM5,1
VM5v,VA4,1
VM6l,VM4,1
VM6v,VM7,1
VM6l,DC2,1
VM6l,VA7,1
VC2,VL1,1
VL2p,DC1,1
VC2,VA6,1
VL2p,DL2,1
VM6l,DL3,1
VM3,DM4,1
VM5d,DL4,1
VM3,DL1,1
VM2,DC3,1
VM3,DC3,1
VM3,DM1,1
VM3,VA7,1
VL2p,VA2,1
VL2p,VC2,1
VM5d,VC3,1
VM2,DA4,1
VL2p,VL2,1
VM2,D,1
VC2,DC4,1
VM5d,VM7,1
VA3,DC3,1
VA3,D,1
